lens,subjectivity,com,polarity,JJ,VB,NN,NNP,VBD,VBP,JJR,RB,WP,JJS,IN,NNS,VBZ,MD,FW,CD,VBN,VBG,DT,PRP,RBR,CC,RBS,WDT,RP,WRB,TO,UH,SYM
293,0.8,0.6908,1.0,3,1,10,0,0,4,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,0.7999999999999999,0.7096,1.0,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
86,0.6000000000000001,-0.0258,-1.0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
12,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,0.4545454545454545,-0.128,-1.0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
104,0.3333333333333333,0.5563,1.0,3,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,0.45,0.0,0.0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
47,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,0.25,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,0.7272727272727273,0.6249,1.0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
67,1.0,-0.3612,-1.0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,0.7272727272727273,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
126,0.4666666666666666,0.6798,1.0,1,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,0.4,0.2023,1.0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
84,0.0,0.4767,1.0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
95,0.0,0.0,0.0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,0.4,0.0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
538,0.5573863636363636,0.9022,1.0,5,5,26,0,1,7,0,0,0,0,1,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
96,0.5,0.1779,1.0,2,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
129,0.6333333333333333,0.8176,1.0,2,0,6,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
296,0.475,0.7579,1.0,7,0,15,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
146,0.0,0.3612,1.0,5,0,10,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
598,0.2,0.0772,1.0,3,3,33,0,0,2,0,3,0,3,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.0
955,0.5479458450046685,0.9633,1.0,13,3,35,0,0,3,0,6,0,1,3,3,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0.0
391,0.5125,0.0,0.0,11,0,16,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,0.0,0.6249,1.0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
566,0.3666666666666667,0.9192,1.0,9,4,24,0,1,4,1,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
274,0.3365530303030303,0.1459,1.0,7,0,9,0,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
863,0.4583333333333333,0.8996,1.0,15,1,34,0,1,9,1,5,0,0,0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
617,0.3583333333333333,-0.0383,-1.0,14,2,25,0,0,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
181,0.236111111111111,0.7003,1.0,5,2,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
375,0.676530612244898,0.3612,1.0,7,1,15,0,0,3,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1057,0.549452380952381,0.9901,1.0,16,2,45,0,1,10,1,10,0,0,5,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
547,0.695,0.9201,1.0,11,1,16,0,0,6,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,0.0,0.0,0.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
236,0.3999999999999999,0.4404,1.0,4,1,9,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,0.2,0.6908,1.0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,0.4,0.7003,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
112,0.3625,-0.0516,-1.0,4,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,0.2,0.6908,1.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1593,0.4442261904761905,0.9785,1.0,32,4,83,0,2,17,1,5,0,0,2,7,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0.0
97,0.625,-0.4404,-1.0,1,0,6,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,0.425,0.8389,1.0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,0.6,0.7964,1.0,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
53,0.4,0.3612,1.0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
95,0.625,0.872,1.0,3,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
85,0.9,-0.34,-1.0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,0.0,0.0,0.0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
53,1.0,-0.3052,-1.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,0.4545454545454545,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,0.2,0.5106,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,0.2962962962962963,0.0,0.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,0.0,0.7964,1.0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,0.65,0.3804,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,0.0,0.0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,0.4583333333333333,0.0,0.0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
